class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,s,y,t,a,f,w,b,g,t,b,s,s,w,w,p,w,o,p,n,v,d
e,f,s,y,f,n,f,c,b,p,t,e,f,s,w,w,p,w,o,f,n,y,g
e,k,s,w,f,c,f,w,b,g,t,,k,s,w,n,p,w,t,e,w,n,g
e,f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,k,v,d
p,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,u
e,f,y,p,f,n,f,c,b,e,e,,s,s,b,e,p,w,t,e,w,c,w
p,f,s,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,o,p,r,n,g
p,x,y,e,f,a,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,s,e,f,f,f,c,n,h,t,,s,k,p,w,p,w,o,e,o,v,g
e,x,y,g,t,f,f,c,b,w,t,c,s,s,w,w,p,w,o,p,k,n,g
p,x,s,g,t,n,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,u
p,x,s,e,t,y,f,c,b,b,e,,k,s,p,w,p,w,o,e,w,v,l
e,x,s,n,t,n,f,c,b,e,e,,s,s,e,w,p,w,t,l,w,c,w
e,f,f,e,t,f,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,a,g
e,f,s,y,f,n,a,c,b,n,t,,s,s,o,w,p,o,o,p,y,c,l
e,x,f,g,f,n,f,w,b,w,e,,s,k,w,w,p,w,t,p,w,n,l
p,x,s,n,t,f,f,c,n,b,t,,s,k,p,w,p,w,o,e,w,v,p
e,f,f,n,t,n,f,c,b,w,t,b,s,k,g,w,p,w,o,p,n,y,d
e,x,f,w,t,n,f,c,n,h,e,,k,f,w,w,p,w,o,p,h,v,d
e,x,y,e,t,n,f,c,b,w,t,b,k,s,g,p,p,w,o,p,k,y,g
e,b,f,g,f,y,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,d
p,b,f,y,f,a,f,c,b,g,t,b,k,k,e,n,p,w,o,l,h,y,d
p,x,y,g,f,s,f,c,n,w,t,r,s,k,w,p,p,w,o,e,w,v,d
